A	/阿/阿马米/蛾/峨/俄/娥/贺/我/芽/牙/雅/亚/娅/
Aashamar	/奥斯哈马尔/
Aasheim	/奥斯海姆/
Aasholm	/阿斯霍尔姆/
Aasland	/奥斯兰/
Aaslaug	/奥斯莱于格/
Aaslepp	/奥斯莱普/
Aasmund	/奥斯蒙/
Aaspegren	/阿斯佩格伦/
Aaspere	/奥斯佩勒/
Aass	/奥斯/
Aassen	/奥森/
Aastos	/阿托斯/
Aastrup	/奥斯特鲁普/
Aasulv	/奥叙尔/
Aasum	/奥叙姆/
Aasvold	/奥斯沃尔德/
Aata	/安安田/
Aatela	/阿泰拉/
Aatola	/阿托拉/
Aatolainen	/阿托莱宁/
Aatrala	/阿特拉拉/
Aatrokoski	/阿特罗科斯基/
Aattonen	/阿托宁/
Aaues	/奥耶斯/
Aav	/阿夫/
Aavaharju	/阿瓦哈留/
Aavakangas	/阿瓦坎加斯/
Aavakoski	/阿瓦科斯基/
Aavaluoma	/阿瓦卢奥马/
Aavaoja	/阿沃亚/
Aavasalo	/阿瓦萨洛/
Aavatsmark	/奥瓦茨马克/
Aavik	/阿维克/奥维克/
Aavikko	/阿维科/
Aaviksoo	/阿维克索/
Aavio	/阿维奥/
Aawar	/阿瓦尔/
Aawick	/阿威克/
Ab	/阿布/
Aba	/阿巴/阿瓦/奥鲍/英保/飨场/飨庭/
Aba'A	/阿巴阿/
Abaa	/阿巴阿/
Abaagu	/阿巴古/
Abaakil	/阿巴基勒/
Ababa	/阿巴巴/
Ababaker	/阿巴贝克尔/
Ababkov	/阿巴布科夫/
Ababou	/阿巴布/
Abac	/阿巴克/阿巴奇/
Abacal	/阿瓦卡尔/
Abacha	/阿巴查/
Abachin	/阿巴钦/
Abaci	/阿巴哲/
Abaco	/阿巴科/
Abacot	/阿巴科特/
Abad	/阿巴德/阿瓦德/奥巴德/
Abada	/阿巴达/阿瓦达/
Abadal	/阿瓦达尔/
Abadalejo	/阿瓦达莱霍/
Abadalla	/阿卜杜拉/
Abadan	/阿巴丹/
Abadanes	/阿瓦达内斯/
Abadantuono	/阿巴丹托诺/
Abadayev	/阿巴达耶夫/
Abade	/阿巴德/
Abadela	/阿卜杜拉/
Abadelli	/阿巴代利/
Abades	/阿瓦德斯/
Abadessa	/阿巴代萨/
Abadesso	/阿巴德索/
Abadi	/阿巴迪/奥鲍迪/
Abadia	/阿巴迪亚/阿瓦迪亚/
Abadias	/阿瓦迪亚斯/
Abadic	/阿巴迪奇/
Abadie	/阿巴迪/阿瓦迭/
Abadin	/阿瓦丁/
Abadir	/阿巴迪尔/
Abadji	/阿巴吉/
Abadjian	/阿巴吉安/
Abadjiev	/阿巴吉耶夫/
Abadou	/阿巴杜/
Abady	/阿巴迪/
Abadzhan	/阿巴占/
Abadzhiev	/阿巴吉耶夫/
Abadzhyan	/阿巴江/
Abadzic	/阿巴季奇/
Abadzijevic	/阿巴季耶维奇/
Abaelard	/阿贝拉尔/
Abaev	/阿巴耶夫/
Abaeva	/阿巴耶娃/
Abafa	/阿巴法/
Abafalvi	/奥鲍福尔维/
Abaffy	/奥鲍菲/
Abafi	/奥包菲/
Abaga	/阿巴加/
Abaginski	/阿巴金斯基/
Abagiu	/阿巴久/
Abagor	/阿巴戈尔/
Abaha	/阿巴哈/
Abahazi	/奥鲍哈齐/
Abahazy	/奥鲍哈齐/
Abai	/阿拜/奥鲍伊/
Abaidallah	/奥贝达拉/
Abaie	/阿叶家/
Abaigar	/阿瓦伊加尔/
Abailard	/阿贝拉尔/
Abaimov	/阿拜莫夫/
Abaisa	/阿瓦伊萨/
Abaishvili	/阿拜什维利/
Abaitiz	/阿瓦伊蒂斯/
Abaitov	/阿拜托夫/
Abaitua	/阿瓦伊图亚/
Abaja	/阿瓦哈/
Abajas	/阿瓦哈斯/
Abajo	/阿瓦霍/
Abak	/阿巴克/
Abaka	/阿巴卡/阿墓/
Abakanov	/阿巴卡诺夫/
Abakanowicz	/阿巴卡诺维奇/
Abakar	/阿巴卡尔/
Abakarov	/阿巴卡罗夫/
Abakeliya	/阿巴克利亚/
Abakhov	/阿巴霍夫/
Abakipov	/阿巴基罗夫/
Abakirov	/阿巴基罗夫/
Abakishin	/阿巴基申/
Abako	/阿巴科/
Abakov	/阿巴科夫/
Abakovski	/阿巴科夫斯基/
Abakovsky	/阿巴科夫斯基/
Abakshin	/阿巴克申/
Abakulov	/阿巴库洛夫/
Abakum	/阿巴库姆/
Abakumoski	/阿巴库莫夫斯基/
Abakumosky	/阿巴库莫夫斯基/
Abakumov	/阿巴库莫夫/
Abakumtsev	/阿巴库姆采夫/
Abakushin	/阿巴库申/
Abal	/阿巴尔/阿布/阿瓦尔/
Abala	/阿瓦拉/
Abalada	/阿巴拉达/
Abaladas	/阿巴拉达斯/
Abalain	/阿巴兰/
Abalakov	/阿巴拉科夫/
Abalan	/阿巴朗/
Abalate	/阿瓦拉特/
Abalayev	/阿巴利亚耶夫/
Abaldo	/阿巴尔多/
Abali	/阿巴勒/
Abalic	/阿巴利奇/
Abalikhin	/阿巴利欣/
Abalin	/阿巴林/
Abalishnikov	/阿巴利什尼科夫/
Abalita	/阿巴利塔/
Abaliyev	/阿巴利耶夫/
Abalkhail	/阿巴勒哈伊勒/
Abalkin	/阿巴尔金/
Aballain	/阿巴兰/
Aballazov	/阿巴拉佐夫/
Aballe	/阿瓦列/
Aballi	/阿瓦利/
Abally	/阿巴利/
Abalmasov	/阿巴利马索夫/
Abalo	/阿巴洛/阿瓦洛/
Abalos	/阿瓦洛斯/
Abalov	/阿巴洛夫/
Abalroado	/阿巴尔罗阿多/
Abalumovski	/阿巴卢莫夫斯基/
Abalumovsky	/阿巴卢莫夫斯基/
Abalux	/阿巴吕/
Abalyan	/阿巴良/
Abalyayev	/阿巴利亚耶夫/
Abamelek	/阿巴梅列克/
Abamon	/阿巴蒙/
Abamson	/阿万松/
Aban	/阿万/
Abana	/阿巴纳/
Abanadas	/阿瓦纳达斯/
Abanades	/阿瓦纳德斯/
Abanadez	/阿瓦纳德斯/
Abanarov	/阿巴纳罗夫/
Abanchev	/阿班切夫/
Abancourt	/阿邦古/
Abanda	/阿班达/
Abando	/阿万多/
Abane	/阿班/
Abangwu	/阿班古/
Abani	/阿巴尼/
Abanicos	/阿瓦尼科斯/
Abanin	/阿巴宁/
Abankin	/阿班金/
Abano	/阿巴诺/
Abanosa	/阿瓦诺萨/
Abanosimov	/阿巴诺西莫夫/
Abanovich	/阿巴诺维奇/
Abanoz	/阿巴诺兹/
Abanozoglu	/阿巴诺兹奥卢/
Abans	/阿万斯/
Abaouat	/阿巴瓦特/
Abapkov	/阿巴普科夫/
Abaque	/阿巴克/
Abarbanel	/阿巴伯内尔/阿瓦瓦内尔/
Abarca	/阿巴尔卡/阿瓦尔卡/
Abarcas	/阿瓦尔卡斯/
Abarco	/阿瓦尔科/
Abard	/阿巴德/
Abardia	/阿瓦尔迪亚/
Abare	/阿贝尔/
Abarenov	/阿巴列诺夫/
Abares	/阿瓦雷斯/
Abargudi	/阿巴尔朱迪/
Abari	/阿巴里/
Abarnou	/阿巴尔努/
Abaroa	/阿瓦罗亚/
Abarosquieta	/阿瓦罗斯基耶塔/
Abarquero	/阿瓦尔克罗/
Abarrategui	/阿瓦拉特吉/
Abarrio	/阿瓦里奥/
Abarshalin	/阿巴尔沙林/
Abartsumyan	/阿巴尔楚米扬/
Abaryan	/阿巴良/
Abaryshev	/阿巴雷舍夫/
Abarzua	/阿瓦苏亚/
Abarzuza	/阿瓦苏萨/
Abas	/阿巴斯/
Abas-Zade	/阿巴斯扎德/
Abasaliyev	/阿巴萨利耶夫/
Abasari	/奥鲍沙里/
Abascal	/阿巴斯卡尔/阿瓦斯卡尔/
Abashawul	/阿巴沙武尔/
Abasheli	/阿巴舍利/
Abashev	/阿巴舍夫/
Abashidze	/阿巴希泽/
Abashin	/阿巴申/
Abashkin	/阿巴什金/
Abashkov	/阿巴什科夫/
Abashvili	/阿巴什维利/
Abasi	/阿巴西/
Abasingh	/阿巴辛格/
Abasiyanik	/阿巴瑟亚纳克/
Abaskulu	/阿巴斯库卢/
Abasolo	/阿瓦索洛/
Abasota	/阿瓦索塔/
Abasov	/阿巴索夫/
Abasovic	/阿巴索维奇/
Abasovich	/阿巴索维奇/
Abass	/阿巴斯/
Abassi	/阿巴西/
Abassian	/阿巴西安/
Abassin	/阿巴森/
Abastante	/阿巴斯坦特/
Abastas	/阿瓦斯塔斯/
Abastecedora	/阿瓦斯特塞多拉/
Abastenia	/阿巴斯蒂尼亚/
Abat	/阿巴/阿巴特/
Abatangelo	/阿巴坦杰洛/
Abatantuono	/阿巴坦托诺/
Abatcha	/阿巴查/
Abate	/阿巴特/
Abatecola	/阿巴泰科拉/
Abategiovanni	/阿巴泰乔瓦尼/
Abatelli	/阿巴泰利/
Abatemattei	/阿巴泰马泰伊/
Abaterusso	/阿巴泰鲁索/
Abati	/阿巴蒂/
Abatianni	/阿巴蒂安尼/
Abatielos	/阿巴蒂洛斯/
Abatin	/阿巴京/
Abatini	/阿巴蒂尼/
Abatis	/阿巴蒂/阿巴蒂斯/
Abatista	/阿巴蒂斯塔/
Abattoirs	/阿巴图瓦尔/
Abaturin	/阿巴图林/
Abaturov	/阿巴图罗夫/
Abauhear	/阿包赫尔/
Abaulin	/阿包林/
Abaunza	/阿旺萨/
Abaurrea	/阿沃雷亚/
Abauzit	/阿博齐/
Abavari	/奥鲍瓦里/
Abavary	/奥鲍瓦里/
Abay	/阿巴伊/阿拜/奥鲍伊/
Abaya	/阿瓦亚/
Abayhan	/阿巴伊汗/
Abayi	/阿巴伊/
Abayifo	/阿巴伊福/
Abayji	/阿贝吉/
Abayoglu	/阿巴伊奥卢/
Abayomi	/阿巴约米/
Abaz	/阿巴兹/
Abaza	/阿巴扎/
Abazadze	/阿巴扎泽/
Abazhurov	/阿巴茹罗夫/
Abazi	/阿巴齐/
Abazin	/阿巴津/
Abaziou	/阿巴齐乌/
Abazovic	/阿巴佐维奇/
Abb	/阿布/
Abba	/阿巴/阿瓦/
Abbaadie	/阿巴迪/
Abbabban	/阿巴班/
Abbad	/阿巴德/阿瓦德/
Abbadessa	/阿巴代萨/阿巴德萨/
Abbadi	/阿巴迪/
Abbadia	/阿巴迪亚/
Abbadie	/阿巴迪/
Abbadini	/阿巴迪尼/
Abbado	/阿巴多/
Abbafati	/阿巴法蒂/
Abbagnale	/阿巴尼亚莱/
Abbagnano	/阿巴尼亚诺/
Abbagnara	/阿巴尼亚拉/
Abbai	/阿拜/
Abbakumov	/阿巴库莫夫/
Abbaleo	/阿巴莱奥/
Abballe	/阿巴莱/
Abbamondi	/阿巴蒙迪/
Abbamonte	/阿巴蒙特/
Abbamonti	/阿巴蒙蒂/
Abbandonati	/阿班多纳蒂/
Abbandonato	/阿班多纳托/
Abbandoni	/阿班多尼/
Abbaoui	/阿巴维/
Abbar	/阿巴尔/阿瓦/
Abbara	/阿巴拉/
Abbas	/阿巴斯/
Abbasali	/阿巴萨利/
Abbasaliev	/阿巴萨利耶夫/
Abbasaliyev	/阿巴萨利耶夫/
Abbasanta	/阿巴桑塔/
Abbasbhai	/阿巴斯巴伊/
Abbasciano	/阿巴夏诺/
Abbasi	/阿巴西/
Abbasoglu	/阿巴斯奥卢/
Abbasogly	/阿巴索格雷/
Abbasov	/阿巴索夫/
Abbasovich	/阿巴索维奇/
Abbass	/阿巴斯/
Abbassen	/阿巴桑/
Abbassi	/阿巴西/
Abbaszadegan	/阿巴萨德甘/
Abbat	/阿巴/
Abbatangeli	/阿巴坦杰利/
Abbatangelo	/阿巴坦杰洛/
Abbatantuono	/阿巴坦托诺/
Abbate	/阿巴特/
Abbatecola	/阿巴泰科拉/
Abbatelli	/阿巴泰利/
Abbatepaolo	/阿巴泰保罗/
Abbaterusso	/阿巴泰鲁索/
Abbatescianni	/阿巴泰希安尼/
Abbati	/阿巴蒂/
Abbatianni	/阿巴蒂安尼/
Abbaticchio	/阿巴蒂基奥/
Abbatiello	/阿巴蒂耶洛/
Abbatini	/阿巴蒂尼/
Abbatino	/阿巴蒂诺/
Abbatista	/阿巴蒂斯塔/
Abbatte	/阿瓦特/
Abbaye	/阿贝/
Abbayes	/阿贝/
Abbazia	/阿巴齐亚/
Abbdarani	/阿卜达拉尼/
Abbe	/阿贝/
Abbebe	/阿贝贝/
Abbeele	/阿贝勒/
Abbei	/阿贝伊/
Abbel	/阿贝尔/
Abbele	/阿贝莱/
Abbell	/阿贝尔/
Abbels	/阿贝尔斯/
Abbema	/阿贝马/
Abbenante	/阿贝南特/
Abbenda	/阿本达/
Abberger	/阿贝格尔/
Abberley	/阿伯利/
Abberud	/阿贝鲁德/
Abbes	/阿巴斯/阿贝斯/阿布/阿韦斯/
Abbesov	/阿别索夫/
Abbett	/阿贝特/
Abbey	/阿贝/阿比/
Abbeys	/阿贝/
Abbiati	/阿比亚蒂/
Abbid	/阿比德/
Abbie	/阿比/
Abbigliamento	/阿比利亚门托/
Abbina	/阿比纳/
Abbinanti	/阿比南蒂/
Abbink	/阿宾克/
Abbiso	/阿比索/
Abbiss	/阿比斯/
Abbitini	/阿比蒂尼/
Abbitt	/阿比特/
Abbo	/阿博/阿布/
Abbodi	/阿博迪/
Abbolito	/阿博利托/
Abbon	/阿邦/
Abbona	/阿博纳/
Abbonati	/阿博纳蒂/
Abbonato	/阿博纳托/
Abbond	/阿邦德/
Abbondandolo	/阿邦丹多洛/
Abbondante	/阿邦丹特/
Abbondanza	/阿邦丹扎/
Abbondanzieri	/阿邦丹齐耶里/
Abbondanzio	/阿邦丹齐奥/
Abbondati	/阿邦达蒂/
Abbondi	/阿邦迪/
Abbondio	/阿邦迪奥/
Abboni	/阿博尼/
Abbonizio	/阿博尼齐奥/
Abbonzio	/阿邦齐奥/
Abbonzo	/阿邦佐/
Abbor	/阿博尔/
Abbors	/阿博斯/
Abbos	/阿博斯/
Abbosh	/阿布什/
Abbot	/阿博特/阿沃特/
Abbott	/阿博特/阿沃特/
Abbouchi	/阿布希/
Abboud	/阿布德/
Abboudy	/阿布迪/
Abbozzo	/阿博佐/
Abbratozzato	/阿布拉托扎托/
Abbrescia	/阿布雷夏/
Abbro	/阿布罗/
Abbruciati	/阿布鲁恰蒂/
Abbrugi	/阿布鲁吉/
Abbrugiati	/阿布鲁贾蒂/
Abbruscato	/阿布鲁斯卡托/
Abbruzzese	/阿布鲁泽塞/
Abbruzzesi	/阿布鲁泽西/
Abbruzzetti	/阿布鲁泽蒂/
Abbruzzini	/阿布鲁齐尼/
Abbruzzo	/阿布鲁佐/
Abbshar	/阿布贝希尔/
Abbuhl	/阿布尔/
Abby	/阿比/
Abbyasov	/阿比亚索夫/
Abcarios	/阿布卡里奥斯/
Abcede	/阿夫塞德/
Abcilar	/阿布哲拉尔/
Abcioglu	/阿布哲奥卢/
Abd	/阿布德/
Abd-Al-khaiya	/阿卜杜勒－海亚/
Abd-Al-medzhid	/阿卜杜勒－马吉德/
Abd-Rashid	/阿布德－拉希德/
Abda	/阿夫达/
Abdaikl	/阿布代克尔/
Abdal	/阿卜杜勒/
Abdala	/阿卜杜拉/阿布达拉/阿夫达拉/
Abdalah	/阿卜杜拉/
Abdalasis	/阿卜杜勒－阿齐兹/
Abdalian	/阿卜杜利安/
Abdalin	/阿布达林/
Abdalla	/阿卜杜拉/阿布达拉/阿夫达利亚/
Abdallah	/阿卜杜拉/
Abdallahi	/阿卜杜拉希/
Abdallakh	/阿卜杜拉/
Abdalmunim	/阿卜杜勒－穆奈姆/
Abdaloff	/阿布达洛夫/
Abdalov	/阿布达洛夫/
Abdalwahhab	/阿卜杜勒－瓦哈卜/
Abdan	/阿卜丹/
Abdane	/阿卜丹/
Abdank	/阿布丹克/
Abdarrahman	/阿卜杜勒－拉赫曼/
Abday	/奥布道伊/
Abdeen	/阿卜丁/
Abdein	/阿卜丁/
Abdel	/阿卜杜勒/
Abdel-Ahad	/阿卜杜勒－阿哈德/
Abdel-Aziz	/阿卜杜勒－阿齐兹/
Abdel-Chadid	/阿卜杜勒－沙迪德/
Abdel-Daim	/阿卜杜勒－达耶姆/
Abdel-Emir	/阿卜杜勒－埃米尔/
Abdel-Fattah	/阿卜杜勒－法塔赫/
Abdel-Gabbar	/阿卜杜勒－贾巴尔/
Abdel-Ghaffar	/阿卜杜勒－加法尔/
Abdel-Ghani	/阿卜杜勒－加尼/
Abdel-Hadi	/阿卜杜勒－哈迪/
Abdel-Hak	/阿卜杜勒－哈克/
Abdel-Halim	/阿卜杜勒－哈利姆/
Abdel-Hamid	/阿卜杜勒－哈米德/
Abdel-Hay	/阿卜杜勒－哈伊/
Abdel-Hussein	/阿卜杜勒－侯赛因/
Abdel-Jabbar	/阿卜杜勒－贾巴尔/
Abdel-Jalil	/阿卜杜勒－贾利勒/
Abdel-Jawad	/阿卜杜勒－贾瓦德/
Abdel-Kader	/阿卜杜勒－卡德尔/
Abdel-Karim	/阿卜杜勒－卡里姆/
Abdel-Khalek	/阿卜杜勒－哈利克/
Abdel-Mawla	/阿卜杜勒－穆拉/
Abdel-Messih	/阿卜杜勒－迈西赫/
Abdel-Mir	/阿卜杜勒－米尔/
Abdel-Mounem	/阿卜杜勒－穆奈姆/
Abdel-Nabi	/阿卜杜勒－纳比/
Abdel-Rahim	/阿卜杜勒－拉希姆/
Abdel-Rahman	/阿卜杜勒－拉赫曼/
Abdel-Raouf	/阿卜杜勒－拉乌夫/
Abdel-Rashid	/阿卜杜勒－拉希德/
Abdel-Razzak	/阿卜杜勒－拉扎克/
Abdel-Rida	/阿卜杜勒－里达/
Abdel-Salam	/阿卜杜勒－萨拉姆/
Abdel-Salem	/阿卜杜勒－萨利姆/
Abdel-Salim	/阿卜杜勒－萨利姆/
Abdel-Samad	/阿卜杜勒－萨马德/
Abdel-Sater	/阿卜杜勒－萨塔尔/
Abdel-Sattar	/阿卜杜勒－萨塔尔/
Abdel-Wahab	/阿卜杜勒－瓦哈卜/
Abdel-Wahed	/阿卜杜勒－瓦希德/
Abdel-Wali	/阿卜杜勒－瓦利/
Abdela	/阿卜杜拉/
Abdelaadim	/阿卜杜拉迪姆/
Abdelaoui	/阿卜杜拉维/
Abdelateef	/阿卜杜勒阿提夫/
Abdelatif	/阿卜杜勒－拉蒂夫/
Abdelazeem	/阿卜杜勒－阿齐姆/
Abdelazim	/阿卜杜勒－阿齐姆/
Abdelaziz	/阿卜杜勒－阿齐兹/
Abdelbaki	/阿卜杜勒－巴基/
Abdelbasud	/阿卜杜勒－巴苏德/
Abdelemir	/阿卜杜勒－埃米尔/
Abdelgadir	/阿卜杜勒－卡迪尔/
Abdelghani	/阿卜杜勒－加尼/
Abdelhadi	/阿卜杜勒－哈迪/
Abdelhak	/阿卜杜勒－哈克/
Abdelhakim	/阿卜杜勒－哈基姆/
Abdelhamid	/阿卜杜勒－哈米德/
Abdelhaq	/阿卜杜勒－哈克/
Abdelio	/阿夫德略/
Abdeljaoued	/阿卜杜勒－贾维德/
Abdeljelil	/阿卜杜勒－贾利勒/
Abdelkader	/阿卜杜勒－卡德尔/
Abdelkarim	/阿卜杜勒－卡里姆/
Abdelkbir	/阿卜杜勒－克比尔/
Abdelkebir	/阿卜杜勒－克比尔/
Abdelkerim	/阿卜杜勒－卡里姆/
Abdelkrim	/阿卜杜勒－卡里姆/
Abdella	/阿卜杜拉/
Abdellah	/阿卜杜拉/
Abdellahi	/阿卜杜拉希/
Abdellaoui	/阿卜杜勒－拉维/
Abdellatif	/阿卜杜勒－拉蒂夫/
Abdellaziz	/阿卜杜勒－阿齐兹/
Abdelli	/阿卜杜利/
Abdelmadjid	/阿卜杜勒－马吉德/
Abdelmalak	/阿卜杜勒－马利克/
Abdelmalek	/阿卜杜勒－马利克/
Abdelmedjid	/阿卜杜勒－马吉德/
Abdelmoula	/阿卜杜勒－穆拉/
Abdelmoumene	/阿卜杜勒－穆迈奈/
Abdelnour	/阿卜杜勒－努尔/
Abdelouahab	/阿卜杜勒－瓦哈卜/
Abdeloughed	/阿卜杜勒－乌盖德/
Abdelouhed	/阿卜杜勒－乌希德/
Abdelwahab	/阿卜杜勒－瓦哈卜/
Abdelwahed	/阿卜杜勒－瓦希德/
Abdelzahab	/阿卜杜勒－扎哈卜/
Abdenego	/阿夫德内戈/
Abdeni	/阿卜德尼/
Abdennour	/阿卜杜努尔/
Abdenour	/阿卜杜努尔/
Abdenur	/阿卜杜努尔/
Abder	/阿卜杜勒/
Abderahim	/阿卜杜勒－拉希姆/
Abderahman	/阿卜杜拉赫曼/
Abderahmane	/阿卜杜拉赫曼/
Abderaman	/阿卜杜拉曼/
Abderamane	/阿卜杜拉曼/
Abderemane	/阿卜杜拉曼/
Abderhalden	/阿布德哈尔登/
Abderrahim	/阿卜杜勒－拉希姆/
Abderrahman	/阿卜杜勒－拉赫曼/
Abderrahmane	/阿卜杜勒－拉赫曼/
Abderramane	/阿卜杜拉曼/
Abderrazak	/阿卜杜勒－拉扎克/
Abderwahab	/阿卜杜勒－瓦哈卜/
Abdes	/阿夫德斯/
Abdeshlan	/阿夫德什兰/
Abdeslam	/阿卜杜勒－萨拉姆/
Abdessadek	/阿卜杜勒－萨迪克/
Abdessalam	/阿卜杜勒－萨拉姆/
Abdessalem	/阿卜杜勒/阿布萨拉姆/
Abdesselam	/阿卜杜勒－萨拉姆/
Abdi	/阿卜迪/
Abdian	/阿布迪恩/
Abdiano	/阿夫迪亚诺/
Abdias	/阿布迪亚斯/
Abdibekov	/阿布季别科夫/
Abdic	/阿布迪奇/
Abdigani	/阿卜迪加尼/
Abdija	/阿布迪亚/
Abdijevic	/阿布迪耶维奇/
Abdijoski	/阿布迪约斯基/
Abdijovski	/阿布迪约夫斯基/
Abdiju	/阿布迪尤/
Abdik	/阿布德克/
